Date,Facets,Value,Units
12-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",928.2521597,Rs. '000
13-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",915.2568633000001,Rs. '000
14-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",736.5435427,Rs. '000
15-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",770.1267609999999,Rs. '000
16-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",789.5520737999999,Rs. '000
17-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",740.3606282000001,Rs. '000
18-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",2013.7924306999998,Rs. '000
19-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",942.2437282999999,Rs. '000
20-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",899.3768811000001,Rs. '000
21-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",926.6759884,Rs. '000
22-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",947.1460771,Rs. '000
23-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",853.8922282000001,Rs. '000
24-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",795.5839949,Rs. '000
25-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at PoS"",""Indicator"":""Value""}",1606.9469113999999,Rs. '000
01-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",22.29079,mn. transactions
02-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",14.46885,mn. transactions
03-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",29.60412,mn. transactions
04-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",48.2828,mn. transactions
05-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",28.636560000000003,mn. transactions
06-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",28.512400000000003,mn. transactions
07-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",27.68131,mn. transactions
08-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",26.79526,mn. transactions
09-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",21.33165,mn. transactions
10-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",21.13344,mn. transactions
11-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",40.497069999999994,mn. transactions
12-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",27.19942,mn. transactions
13-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",25.19732,mn. transactions
14-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",20.78669,mn. transactions
15-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",20.75791,mn. transactions
16-04-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Debit Card"",""Channel"":""at e-Commerce"",""Indicator"":""Volume""}",20.67878,mn. transactions
